,PlayerName,TeamName,Continent,Type,Match1,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11,TotalRuns,MatchesPlayed,WicketsTaken,OversBowled,RunsConceded,Economy
0,Subhman Gill,India,Asia,Batter,0.0,0.0,16.0,53.0,26.0,9.0,92.0,23.0,51.0,80.0,4.0,354,11,0,2.0,11.0,5.5
1,Ishan Kishan,India,Asia,Batter,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,11,0,0.0,0.0,0.0
2,Rohit Sharma,India,Asia,Batter,0.0,131.0,86.0,48.0,46.0,87.0,4.0,40.0,61.0,47.0,47.0,597,11,1,0.5,7.0,8.4
3,Virat Kohli,India,Asia,Batter,85.0,55.0,16.0,103.0,95.0,0.0,88.0,101.0,51.0,117.0,54.0,765,11,1,3.3,15.0,4.55
4,Shreyas Iyer,India,Asia,Batter,0.0,25.0,53.0,19.0,33.0,4.0,82.0,77.0,128.0,105.0,4.0,530,11,0,0.0,0.0,0.0
5,KL Rahul,India,Asia,Batter,97.0,0.0,19.0,34.0,27.0,39.0,21.0,8.0,102.0,39.0,66.0,452,11,0,0.0,0.0,0.0
6,Suryakumar Yadav,India,Asia,Batter,0.0,0.0,0.0,0.0,2.0,49.0,12.0,22.0,2.0,1.0,18.0,106,11,0,2.0,17.0,8.5
7,Hardik Pandya,India,Asia,All-Rounder,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,5,16.3,113.0,6.93
8,Rabindra Jadeja,India,Asia,All-Rounder,0.0,0.0,0.0,0.0,39.0,8.0,35.0,29.0,0.0,0.0,9.0,120,11,16,91.3,398.0,4.36
9,Ravichandran Ashwin,India,Asia,All-Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,10.0,34.0,3.4
10,Shardul Thakur,India,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2,17.0,102.0,6.0
11,Mohommad Shami,India,Asia,Bowler,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,10,11,24,48.5,257.0,5.3
12,Jasprit Bumrah,India,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,18,11,20,91.5,373.0,4.08
13,Mohommad Siraj,India,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9,11,14,82.3,469.0,5.7
14,Kuldeep Yadav,India,Asia,Bowler,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,19,11,15,95.1,424.0,4.46
15,Abdullah Shafique,Pakistan,Asia,Batter,0.0,113.0,20.0,64.0,58.0,9.0,68.0,4.0,0.0,0.0,0.0,336,9,0,0.0,0.0,0.0
16,Imam-ul-Haq,Pakistan,Asia,Batter,15.0,12.0,36.0,70.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,162,9,0,0.0,0.0,0.0
