PlayerName,TeamName,Continent,Type,1,2,3,4,5,6,7,8,9,10,11,TotalRuns,MatchesPlayed,21,22,23,24,25,26,27,28,29,30,31,WicketsTaken,OversBowled,RunsConceded,Economy
Subhman Gill,India,Asia,Batter,,,16,53,26,9,92,23,51,80,4,354,11,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5.5
Ishan Kishan,India,Asia,Batter,0,47,,,,,,,,,,47,11,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rohit Sharma,India,Asia,Batter,0,131,86,48,46,87,4,40,61,47,47,597,11,0,0,0,0,0,0,0,0,1,0,0,1,0.5,7,8.4
Virat Kohli,India,Asia,Batter,85,55,16,103,95,0,88,101,51,117,54,765,11,0,0,0,0,0,0,0,0,1,0,0,1,3.3,15,4.55
Shreyas Iyer,India,Asia,Batter,0,25,53,19,33,4,82,77,128,105,4,530,11,0,0,0,0,0,0,0,0,0,0,0,0,,,
KL Rahul,India,Asia,Batter,97,0,19,34,27,39,21,8,102,39,66,452,11,0,0,0,0,0,0,0,0,0,0,0,0,,,
Suryakumar Yadav,India,Asia,Batter,,,,,2,49,12,22,2,1,18,106,11,0,0,0,0,0,0,0,0,0,0,0,0,2,17,8.5
Hardik Pandya,India,Asia,All-Rounder,11,0,0,0,,,,,,,,11,11,1,2,2,0,0,0,0,0,0,0,0,5,16.3,113,6.93
Rabindra Jadeja,India,Asia,All-Rounder,0,0,0,0,39,8,35,29,0,0,9,120,11,3,0,2,2,0,1,1,5,2,0,0,16,91.3,398,4.36
Ravichandran Ashwin,India,Asia,All-Rounder,0,,,,,,,,,,,0,11,1,0,0,0,0,0,0,0,0,0,0,1,10,34,3.4
Shardul Thakur,India,Asia,Bowler,,0,0,0,,,,,,,,0,11,0,1,0,1,0,0,0,0,0,0,0,2,17,102,6
Mohommad Shami,India,Asia,Bowler,,,,,1,1,2,0,0,0,6,10,11,0,0,0,0,5,4,5,2,0,7,1,24,48.5,257,5.3
Jasprit Bumrah,India,Asia,Bowler,0,0,0,0,0,16,1,0,0,0,1,18,11,2,4,2,2,1,3,1,0,2,1,2,20,91.5,373,4.08
Mohommad Siraj,India,Asia,Bowler,0,0,0,0,0,0,,0,0,0,9,9,11,1,0,2,2,1,0,3,1,2,1,1,14,82.3,469,5.7
Kuldeep Yadav,India,Asia,Bowler,0,0,0,0,0,9,,0,0,0,10,19,11,2,1,2,1,2,2,0,2,2,1,0,15,95.1,424,4.46
Abdullah Shafique,Pakistan,Asia,Batter,,113,20,64,58,9,68,4,0,,,336,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Imam-ul-Haq,Pakistan,Asia,Batter,15,12,36,70,17,12,,,,,,162,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Babar Azam,Pakistan,Asia,Batter,5,10,50,18,74,50,9,66,38,,,320,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Mohammad Rizwan,Pakistan,Asia,Batter,68,131,49,46,8,31,26,0,36,,,395,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Saud Shakeel,Pakistan,Asia,Batter,68,31,6,30,25,52,0,0,29,,,241,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fakhar Zaman,Pakistan,Asia,Batter,12,,,,,,81,126,1,,,220,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Iftikhar Ahmed,Pakistan,Asia,Batter,9,22,4,26,40,21,17,0,3,,,142,9,1,0,0,0,0,0,1,1,1,0,0,4,48,262,5.46
Shadab Khan,Pakistan,Asia,All-Rounder,32,0,2,,40,43,,,4,,,121,9,1,1,0,0,0,0,0,0,0,0,0,2,38,237,6.24
Mohammad Nawaz,Pakistan,Asia,All-Rounder,39,0,4,14,NaN,24,,,,,,81,9,1,1,0,0,0,0,0,0,0,0,0,2,37.5,223,5.95
Hasan Ali,Pakistan,Asia,Bowler,0,0,12,8,0,,,0,,,,20,9,2,4,1,0,1,0,0,1,0,0,0,9,51,321,6.29
Shaheen Afridi,Pakistan,Asia,Bowler,13,0,2,10,3,2,0,0,25,,,55,9,1,1,2,5,1,3,3,0,2,0,0,18,81,481,5.94
Haris Rauf,Pakistan,Asia,Bowler,16,0,2,0,0,0,0,0,35,,,53,9,3,2,0,3,0,2,2,1,3,0,0,16,79,533,6.75
Usama Mir,Pakistan,Asia,Bowler,,,,0,0,,0,,,,,0,9,0,0,0,1,0,2,1,0,0,0,0,4,35,248,7.09
M Wasim Jnr.,Pakistan,Asia,Bowler,,,,,,7,0,0,16,,,23,9,0,0,0,0,0,2,3,3,2,0,0,10,38.1,215,5.64
Salman Ali Agha,Pakistan,Asia,Bowler,,,,,,,0,0,51,,,51,9,0,0,0,0,0,0,0,0,0,0,0,0,5,46,9.2
Rahmanullah Gurbaz,Afganistan,Asia,Batter,47,21,80,11,65,0,10,21,25,,,280,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ibrahim Zadran,Afganistan,Asia,Batter,22,22,28,14,87,39,20,129,15,,,376,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rahmat Shah,Afganistan,Asia,Batter,18,16,3,36,77,62,52,30,26,,,320,9,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12
Hashmatullah Shahidi,Afganistan,Asia,Batter,18,80,14,8,48,58,56,26,2,,,310,9,0,0,0,0,0,0,0,0,0,0,0,0,,,
Azmatullah Omarzai,Afganistan,Asia,All-Rounder,22,62,19,27,0,73,31,22,97,,,353,9,1,0,0,2,1,1,0,2,0,0,0,7,38,270,7.11
